ID,微博内容
58,【符合条件受灾群众可获万元救助款】@深圳市民政局 ：目前深圳市慈善会接到多方爱心机构和个人的捐款和捐物等慈善行为，本次绿色通道针对本次山体滑坡的伤残人士提供慰问和关怀，由以前的1个月调整为1天内完成审批和支付，第一时间将慈善款用于医疗救助之外的辅助生活关爱支持。 ????????
59,【光明新区灾害救援交通管理五条措施】 目前， 光明新区长圳凤凰社区山体滑坡救援工作进入第二天关键期，参与救援的各类车辆较多，为了确保救援通道的畅通，抢险救灾工作顺利进行，@深圳交警 将进一步加强交通管理，具体采取五条措施如下。 ????????
60,【山体滑坡失联人数下降为85人】@光明发布 ： 截至21日下午6时，接报失联人数下降为85人，现场救出被困人员7人，住院救治伤员16人，生命体征平稳，安排居住600人，安全疏散900人。 ????????
61,【光明新区山体滑坡将召开第四场新闻发布会】@光明发布 ：第四场新闻发布会采访通知：时间：12月21日14:30，地点：光明新区公明办事处宝明城大酒店二楼鸿福厅。 ????????
62,@深圳供电 ：为配合政府部门对光明红坳山体滑坡的救援，截止今天11时，还有2条10千伏线路部分客户未恢复供电，共28个客户。影响范围集中在光明街道红坳村恒泰工业区、长圳工业区一带。我局17台应急发电车已在现场随时待命，全力配合应急供电。
63,【光明新区山体滑坡灾害救援处置第三次通报】@深圳市应急管理办公室 : 此次灾害滑坡覆盖面积约38万平方米，余泥渣土厚度达数米至十数米不等，造成附近的恒泰裕、柳溪、德吉成三个工业园33栋（间）建筑物被掩埋或不同程度损毁。截至12月21日6时00分，接报失联人员91人，其中男性59人，女性32人。详见↓ ????????
64,【光明新区山体滑坡 失联人数上升至91人】据@深圳市应急管理办公室 负责人上午9点新闻发布会通报，经初步核查，此次灾害共造成33栋建筑物被掩埋或不同程度损坏，其中厂房14栋，办公楼2栋，饭堂1间，宿舍3栋，其他低矮建筑物13间。截至12月21日6时，共有91人失联。 ????????
65,【光明新区山体滑坡将召开第三场新闻发布会】@光明发布 第三场新闻发布会采访通知：时间：12月21日上午九点，地点：光明新区公明办事处宝明城大酒店二楼鸿福厅。 ????????
66,【为生命祈福！愿失联者平安获救】深圳市现场抢险救援指挥部20日23点多就光明新区恒泰裕工业园后侧发生的山体滑坡灾害发布报告↓↓↓。救援人员仍在连夜搜救，期待好消息，愿失联者平安获救！ ????????
67,【供电抢修情况通告】@深圳供电：为配合政府部门对光明红坳山体滑坡的救援，目前还剩3条10千伏线路190个用户未恢复供电（此前是476个用户），有3条10千伏线路已经恢复，请受影响的小伙伴耐心等待并注意安全目前，我们派出了140余抢修人员、17台应急发电车、53台照明设备在现场配合抢险救援。 ????????
68,@深圳供电：光明区区域受红坳山体滑坡，为配合政府救援紧急停电影响范围：凤凰村、长圳工业区等，目前供电部门正在全力抢修，暂无法预计复电时间，请各位亲耐心等待，我们将在微博和网厅（95598.sz.csg.cn/space/gzinfolist.jsp）滚动发布最新抢修动态，敬请留意！同时也提醒大家在停电期间注意安全！ ????????
69,【目前救援仍在紧张 供电受影响的小伙伴多多理解】@深圳供电：为配合政府部门对光明红坳山体滑坡的救援，目前还剩4条10千伏线路476个用户未恢复供电，有2条10千伏线路已经恢复，请受影响的小伙伴多多理解
70,【习近平和李克强对深圳山体滑坡救援作指示】习近平做出重要指示，要求深圳市迅速组织力量开展抢险救援，第一时间抢救被困人员，尽最大努力减少人员伤亡，做好伤员救治，伤亡人员家属安抚等善后工作。李克强就抢险救援工作作出批示。『习近平对深圳山体滑坡作指示_手机新浪网』O习近平对深圳山体滑坡作指示 ????????
71,【最新失联人数27人】@光明发布 ：19点20分，27人未能取得联系（21男6女）。//@深圳微博发布厅: 【光明新区山体滑坡22人失联】新闻发布会通报要点：山体滑坡已造成22栋厂房被掩埋，涉及15家公司；现场已经安全撤离900多人，救出被困人员4人（3人轻伤，1人正常），22人失联（17男，5女）；关注，祈福！
72,【光明新区山体滑坡22人失联】新闻发布会通报要点：山体滑坡已造成22栋厂房被掩埋，涉及15家公司；现场已经安全撤离900多人，救出被困人员4人（3人轻伤，1人正常），22人失联（17男，5女）；关注，祈福！
73,【光明新区召开山体滑坡新闻发布会】@光明发布 新区现场救援指挥部就光明新区山体滑坡事件召开新闻发布会，通报相关情况。详情请点击长微博。????°【光明新区召开山体滑坡新闻发布会】 ????????
74,【光明新区山体滑坡14名伤员入院救治】@健康深圳：今天上午光明新区发生山体滑坡房屋倒塌，接报后“120”立即调派光明新区中心医院、光明新区人民医院等多家医疗机构出诊。截至17时15分，共出车16台次，入院治疗共14人，均是轻伤，光明新区中心医院收治9人，光明新区人民医院收治5人，均生命体征平稳。 ????????
75,【光明新区山体滑坡新闻发布会】现场救援指挥部就光明新区山体滑坡事件召开新闻发布会，通报相关情况。 ????????
