序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
57,"
                                                                                                    #暴雨蓝色预警#【四川省气象台9月26日16时发布暴雨蓝色预警】9月26日20时～27日20时，达州、广安2市以及巴中、南充2市东部的部分地方有大雨到暴雨（40～80毫米），其中达州北部的局部地方有大暴雨（120～150毫米）；阿坝州北部有中到大雨（15-30毫米）。 ​​​​                                            ", 9月26日 15:39,3,1,赞,360安全浏览器,FnBpJAQen
58,"
                                                                                                    转发微博                                            ", 9月26日 15:22,转发,评论,136,360安全浏览器,FnBj6hlzo
59,"
                                                                                                    #14时气温实况# 目的虽有，却无路可循，我们称之为路的，无非是踌躇。（弗兰兹·卡夫卡） ​​​​                                            ", 9月26日 14:16,2,评论,1,360安全浏览器,FnAS292o8
60,"
                                                                                                                                                ", 9月26日 09:05,1,1,20,360安全浏览器,FnyPXvIsq
61,"
                                                                                                    好厉害！                                            ", 9月26日 09:03,1,评论,61,微博 weibo.com,FnyOVnh4V
62,"
                                                                                                                                                ", 9月26日 08:59,4,评论,695,360安全浏览器,FnyNi5e6B
63,"
                                                                                                    #08时气温实况# 天空依然忧郁~ ​​​​                                            ", 9月26日 08:12,5,4,4,360安全浏览器,Fnyuj7yHQ
64,"
                                                                                                    #四川省早间天气预报# 今天白天到晚上：盆地大部阴天有阵雨或雷雨，其中，巴中、达州、南充、遂宁、广安5市和广元、资阳2市东部有中到大雨，巴中东部、南充北部和达州北部的部分地方有暴雨，局部地方大暴雨；阿坝州大部、甘孜州北部和攀西地区阴天间多云有阵雨或雷雨，其中阿坝州北部、甘孜州西北部有 ​​​​...展开全文c                                            ", 9月26日 08:02,2,评论,1,专业版微博,Fnyqn1fNi
65,"
                                                                                                    #四川省主要城市未来48小时天气预报# ​​​​                                            ", 9月26日 07:22,3,1,1,专业版微博,Fnya8Buwm
66,"
                                                                                                                                                ", 9月25日 20:40,2,评论,62,360安全浏览器,FntXtx6CV
67,"
                                                                                                    旅游指南新鲜出炉~                                            ", 9月25日 20:26,转发,评论,1,360安全浏览器,FntRFlRxB
68,"
                                                                                                    转发微博                                            ", 9月25日 20:25,转发,评论,1,360安全浏览器,FntRk40mS
69,"
                                                                                                    #四川省下午天气预报#今天晚上到明天白天：盆地西部阴天间多云，盆地其余各市阴天有分散性阵雨或小雨，其中巴中、南充北部、达州北部和广元东部有中到大雨，个别地方有暴雨；阿坝州大部、甘孜州北部阴天间多云有阵雨或雷雨，甘孜州南部和攀西地区多云间晴有分散性阵雨或雷雨。24小时内，盆地最低气温20 ​​​​...展开全文c                                            ", 9月25日 17:12,3,评论,赞,360安全浏览器,FnsB20NLO
70,"
                                                                                                    #16时气温实况# ​​​​                                            ", 9月25日 16:15,转发,2,赞,360安全浏览器,FnsdPgyJo
71,"
                                                                                                    成都原来这么美？换个角度看事物果然不一样~                                            ", 9月25日 16:15,转发,评论,255,360安全浏览器,FnsdNrpln
72,"
                                                                                                    金顶云海就是美！                                            ", 9月25日 14:36,1,评论,3,360安全浏览器,FnrzCvM4h
73,"
                                                                                                    转发微博                                            ", 9月25日 14:19,3,评论,583,360安全浏览器,FnrsF5DQw
74,"
                                                                                                    #14时气温实况# 金橘果皮中含有丰富的维生素C，不仅对肝脏有解毒功能，还能保护免疫系统哦。 ​​​​                                            ", 9月25日 14:13,1,评论,赞,360安全浏览器,FnrqdafSu
75,"
                                                                                                    对的~~冻成冰棍就不好了                                            ", 9月25日 11:26,2,评论,13,360安全浏览器,FnqkBB9Ee
76,"
                                                                                                    转发微博                                            ", 9月25日 10:49,4,评论,13,360安全浏览器,Fnq5xk7Iq
77,"
                                                                                                    哈哈，报喜不报忧                                            ", 9月25日 10:33,转发,1,8,360安全浏览器,FnpYWAhTq
78,"
                                                                                                    真漂亮~~                                            ", 9月25日 10:31,3,2,34,360安全浏览器,FnpYdnshB
79,"
                                                                                                    怪不得最近眼睛不舒服，原来不怪手机。。。。                                            ", 9月25日 09:47,3,2,1,360安全浏览器,FnpGprXmu
80,"
                                                                                                    转发微博                                            ", 9月25日 09:34,1,评论,1,360安全浏览器,FnpB6xFO9
