序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
64,"
                                                                                                    再转小泰迪 小泰迪灭掉质疑~                                            ",否,"
                                                                                                    #消防快讯#@北京通州消防支队 疏散被困群众26人，并救出两只被困小狗 [兔兔] 事情经过:今天下午16时13分，的长城国际小区A2座19层发生火灾，接警后，新华街中队立即出动三辆消防车，到场后，消防官兵奋战两个小时，成功扑灭火灾。 ????????                                                            ", 2012-8-12 15:45,13,16,赞,微博 weibo.com,ywP3ipnwD
65,"
                                                                                                    你好，明天！……                                            ",否,"
                                                                                                    【你好，明天】经历暴雨中的“双闪之爱”，我们感受到“路人”的道德热量；推动“唐慧回家”，我们体会到“努力就会前行”。而上海再现老人倒地无人扶提醒我们：中国向上走，需要更多人来做现实的行动者、良善的呵护者，而不只是道德的批判者、正义的围观者。国家有尊严，公民才有尊严，反之亦然。安。 ????????                                                            ", 2012-8-11 23:53,3,评论,53,iPhone客户端,ywIP5uFfQ
66,"
                                                                                                    8月10日，一只勇敢的狗妈妈从大火中救出自己的孩子，然后将它们带到一辆消防车中，在它看来，消防车应该是最安全的。 ????????                                            ",是,无, 2012-8-11 13:29,609,129,赞,微博 weibo.com,ywEJRpcGj
67,"
                                                                                                    也许时间会老，但记忆不会老。希望这些故事能让更多的人了解到动物和人是可以很好相处的，不要伤害它们，请尊重每一个生命！大家周末好！~~~ ????????                                            ",是,无, 2012-8-11 08:41,25,5,赞,iPhone客户端,ywCQTswMh
68,"
                                                                                                    美剧迷们准备好了么？【芝加哥烈焰】要来咯 本剧是NBC秋季主推的主打男性阵容的养眼的火警题材剧情新剧，由吸血鬼日记（狼人Mason）和豪斯医生美男（Chase医生扮演者）领衔，该剧以芝加哥消防队不怕牺牲的英雄消防员为主人公，描述这群男女的工作时时刻刻都要面对的危险。 O网页链接 ????????                                            ",是,无, 2012-8-10 12:31,21,7,赞,微博 weibo.com,ywuVKoINM
69,"
                                                                                                    //@北京消防: 这个军礼为你而敬！                                            ",否,"
                                                                                                    【想想军嫂的不易】西藏阿里军分区什布奇哨所，道路不畅，天气寒冷，每年封山期长达9个月。哨所指导员新婚妻子许晓静为了探亲，辞掉公司人事主管的工作。因为公司婚假只准假10天。等她乘火车从西安到拉萨，转道狮泉河等，再搭送菜的卡车赶到哨所时，一周时间已过。O网页链接 @平安德清铁路??????????????                                                            ", 2012-8-10 10:31,7,3,赞,微博 weibo.com,ywu8V8KIi
70,"
                                                                                                    可不可以......不要轻易说放弃？！因为对于它们来说，你，就是它们的天，它们的全世界！...... ????????                                            ",是,无, 2012-8-10 09:59,86,11,赞,微博 weibo.com,ywtVPFvUy
71,"
                                                                                                    【Hope的含义】 Hold On, Pain Ends. ——坚持住, 痛苦终会过去！各位，早安！~~~ ????????                                            ",是,无, 2012-8-10 07:41,5,2,赞,iPhone客户端,ywt1ZmRdy
72,"
                                                                                                    今天，你用了它多少次？ ????????                                            ",是,无, 2012-8-9 18:18,1,4,赞,iPhone客户端,ywnMaDjbV
73,"
                                                                                                    友谊第一，比赛第二，这就是奥运精神！~~~ ????????                                            ",是,无, 2012-8-9 14:57,4,1,赞,微博 weibo.com,ywmsFcsQy
74,"
                                                                                                    //@赴汤蹈火119: 为北京奥运会而自豪！ //@北京消防:今早7:45分消息，位于伦敦市中心的新西兰奥运招待中心发生火灾，约700人已经被迫撤离。目前火灾原因还在调查中。自第25届奥运会以来，北京奥运是唯一没有在奥运赛事期间发生影响赛事活动火灾的城市。                                            ",否,"
                                                                                                    【伦敦新西兰奥运接待中心起火 700人被迫撤离】9日消息，位于伦敦市中心的新西兰奥运招待中心发生火灾，约700人已经被迫撤离。灾前，数百名新西兰人在该中心进行露天烧烤。火苗刚燃起时，厨师试图扑灭未果，随后迅速蔓延。在场人纷纷逃离。目前大火已被扑灭。O网页链接 央视网李婉然编辑报道 ????????                                                            ", 2012-8-9 10:39,4,3,1,微博 weibo.com,ywkLIskMx
75,"
                                                                                                    警示：希望广大市民注意自身安全,到正规场所游泳避暑！                                            ",否,"
                                                                                                    昨天下午一20岁男子在昌平十三陵水库溺水,经两个多小时的搜救被打捞上岸,已无生命体征。事发地河岸沿途可见""禁止垂钓、戏水、游泳""警示牌,但消防救援人员打捞遗体同时,附近水域仍有不少戏水、游野泳的人。十三陵水库作为我市重要的水源地,不对游客开放,希望广大市民注意自身安全,到正规场所游泳避暑。 ????????                                                            ", 2012-8-9 10:33,2,4,赞,微博 weibo.com,ywkJk7NSI
76,"
                                                                                                    手机莫长时间充电！请大家多加防范！                                            ",否,"
                                                                                                    【手机莫长时间充电】近日某居民家中手机充电时发生爆炸，并没有引起火灾。手机引发火灾基本是由于手机充电器爆炸或者手机电池自燃爆炸。手机充电时要远离明火、煤气；手机充电时间不能过长，充电完成后要及时将充电器电源插头拔掉，千万不能一充就一天或者手机拔掉了充电器还一直插着，这都会导致危险 ????????                                                            ", 2012-8-9 10:10,8,3,赞,微博 weibo.com,ywkzQn6r3
77,"
                                                                                                    有你在身边，什么都不怕，让我们一起长大吧！~~~你被哪一个画面感动了？~~~ ????????                                            ",是,无, 2012-8-9 09:55,21,7,1,微博 weibo.com,ywktY3WNS
78,"
                                                                                                    大家看到的这组图片仅仅是我们#消防员#在平日的抢险救援工作中的一个很平凡的写照！如果你也同样被感动，希望大家都能多给消防员一点支持、鼓励与尊重！ ????????                                            ",是,无, 2012-8-9 09:29,130,85,赞,微博 weibo.com,ywkjktVgR
79,"
                                                                                                    让我们记住这三个人！祝福他们，！谢谢你们，英雄！！！ ????????                                            ",是,无, 2012-8-8 13:41,131,28,赞,iPhone客户端,ywcx34F0i
80,"
                                                                                                    和#消防员#一起看男子体操双杠颁奖典礼！被帅到的有没有？！被萌到的有没有？！~~~ ????????                                            ",是,无, 2012-8-8 13:25,1,2,赞,iPhone客户端,ywcqwgvxH
81,"
                                                                                                    这幅画里一定有一个人是你！找找看！怀念你的学生时代吗？ ????????                                            ",是,无, 2012-8-8 13:19,11,1,赞,iPhone客户端,ywcomFgO4
82,"
                                                                                                    祝福，感慨！刘翔，谢谢你！谢谢你这么多年带给我们的惊喜与感动！真正的战士与勇士，谢谢你！！！ ????????                                            ",是,无, 2012-8-7 18:54,5,10,赞,iPhone客户端,yw59H4FDV
83,"
                                                                                                    #刘翔加油#又一个激动人心的时刻即将到来，让我们一起为刘翔加油，为中国加油！！！[奥运金牌] ????????                                            ",是,无, 2012-8-7 16:55,1,2,赞,微博 weibo.com,yw4nkq5Y4
