序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
42,"
                                                                                                    转发扩散！                                            ", 2014-4-16 09:51,-1,评论,1,微博 weibo.com,AFVnblcRd
43,"
                                                                                                    #昆明市政府领导接听日#今天上午9:30—11:00，阮凤斌副市长接听“12345”市长热线，云南网正在进行同步直播O4月市长热线接听日。 ​​​​                                            ", 2014-4-16 09:31,转发,1,赞,微博 weibo.com,AFVf0heoI
44,"
                                                                                                    #办理反馈# @ms文玓 向 @昆明市长 反映万宏路原奥斯迪制衣厂工地，每天晚21点到凌晨五点施工，噪音非常大，严重影响周边居休息问题收悉。现将盘龙区政府调查处理情况回复如下，见长微博。 ​​​​                                            ", 2014-4-15 15:40,4,7,2,微博 weibo.com,AFOe6y0Lg
45,"
                                                                                                    #办理反馈# @阿辉昆明风马飞扬单车 向 @昆明12345市长热线 反映：金实小区华秋园商铺早上开店时被汽车堵门，是因为物业公司把商铺门口都用来停车问题收悉。现将盘龙区政府调查处理情况反馈如下，见长微博。 °金实小区华秋园车辆停放调查情况 ​​​​                                            ", 2014-4-15 15:24,5,1,1,新浪长微博,AFO7Rc0Sb
46,"
                                                                                                    #昆明市政府领导接听日# 明天上午9:30—11:00，昆明市政府阮凤斌副市长将接听“12345”市长热线。阮副市长负责商贸流通、政府自身建设、会展、对外开放、滇池泛亚合作及其招商引资等方面工作，届时，欢迎大家就其负责的工作反映情况，建言献策。 ​​​​                                            ", 2014-4-15 10:59,2,1,赞,微博 weibo.com,AFMoadX6G
47,"
                                                                                                    #时事新闻# 昆明地铁首期工程北段有望4月30日试运营。 ​​​​                                            ", 2014-4-15 10:41,8,6,1,微博 weibo.com,AFMgPb62c
48,"
                                                                                                                                                ", 2014-4-15 10:31,转发,1,赞,微博 weibo.com,AFMcz0sKp
49,"
                                                                                                    #办理反馈# @Chat___Mongol 向 @昆明市长 反映丰宁小区路两边的人行道一到傍晚就开始出现小商贩障道经营，路边的商店占道摆摊无人管理问题收悉。现将五华区政府调查情况反馈如下。见长微博。 ​​​​                                            ", 2014-4-14 16:53,2,1,2,微博 weibo.com,AFFhp6RJj
50,"
                                                                                                    #便民信息# 昆明发票真伪可进入云南地税发票快速查询通道（O网页链接）查询，输入发票代码、发票号码及网站验证码，可以清楚地看到发票是由哪个税务机关开具给哪家企业的。若核对发票专用章与发票发售信息不一致，可拨打0871-63647321进一步核实，或点击投诉举报按钮进行网上投诉举报。 ​​​​                                            ", 2014-4-14 15:24,6,3,3,微博 weibo.com,AFEHl8PcK
51,"
                                                                                                    昆明公交已开通52条支线公交9条免费社区巴士，转发给大家了解。                                            ", 2014-4-14 15:12,1,3,赞,政府版微博,AFECuDr69
