序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
48,"
                                                                                                    【昆明地铁车票新设计出炉】车票虽小却承载着非凡的意义，每次地铁开通新线路昆明地铁都会发行不同的车票版面，每一次的版面也都具有一定的时代意义、昆明意义以及地铁意义。据了解，伴随着首期1、2号线全线贯通，本次发行的车票共由6个版面组成，其中一张为普通单程票，5张为单程票套票。据@昆明发布 ​​​​                                            ", 2014-4-29 11:30,5,1,7,人民微管家,B1X7i20it
49,"
                                                                                                    【五一小长假 云南高速公路对7座以下小客车实行免费】五一假期即将来临，今年的五一小长假时间为5月1日至5月3日三天。记者28日从云南省交通运输部门了解到，五一小长假期间，我省高速公路将继续对7座(含)及以下小客车实行免费政策，免费时间为5月1日零时至5月3日24时。O五一小长假 云南高速公路对7座以下小客车实行... ​​​​                                            ", 2014-4-29 11:00,7,1,2,人民微管家,B1WV73iuI
50,"
                                                                                                    【成都到昆明现在花18小时 6年后只需5小时】永广铁路是成昆铁路扩能改造工程云南段两段之一，其中一段昆明至广通段，已于去年下半年建成通车。记者探营永（仁）广（通）铁路（简称永广铁路）的建设进展获知，2020年前全线竣工后，成都至昆明列车运行时间将缩至5小时。 O网页链接 ​​​​                                            ", 2014-4-29 10:30,21,17,14,人民微管家,B1WIVrP7c
51,"
                                                                                                    祈祷小艳芳手术成功！                                            ", 2014-4-29 10:05,3,2,59,360安全浏览器,B1WyXA7mY
52,"
                                                                                                    【昆明地铁首期工程4月30日全线贯通试运营】“昆明地铁1、2号线首期工程票价两元起步，早6点20发车，人员物资配备全部到位，已满足开通试运营要求。”该工程历经4年的施工建设，将于2014年4月30日全线贯通试运营。路线为从北部汽车站抵达大学城南站，全长42.1公里。O昆明地铁首期工程4月30日全线贯通试运营 票价... ​​​​                                            ", 2014-4-29 10:00,11,5,7,人民微管家,B1WwMgnou
53,"
                                                                                                    再帮帮忙！                                            ", 2014-4-29 09:56,5,4,赞,360安全浏览器,B1Wv9bBCm
54,"
                                                                                                    彩云之南，彩霞满天！                                            ", 2014-4-29 09:51,43,6,44,360安全浏览器,B1Wtduw9d
55,"
                                                                                                    【分享 云南之美】 泸沽湖，一个明净纯情的湖；泸沽湖，一个古朴乡土的湖；泸沽湖，一个充满母性，充满柔情的湖；泸沽湖，一个崇尚心灵自由与情感选择的湖；泸沽湖，一个生命至上，爱情至上的湖。 据@云南旅游美图美博  ​​​​                                            ", 2014-4-28 22:01,24,6,18,人民微管家,B1ROUC1CP
56,"
                                                                                                    那么，今年五一节假期，就来一次说走就走的旅行吧！                                            ", 2014-4-28 21:59,8,6,22,360安全浏览器,B1RNXddEa
57,"
                                                                                                    高原水乡画卷！                                            ", 2014-4-28 21:55,26,11,6,360安全浏览器,B1RMpu36x
58,"
                                                                                                    总有一些人，一些事，让人热泪盈眶！腾冲，一生中一定要来一次的地方……                                            ", 2014-4-28 21:52,8,2,8,360安全浏览器,B1RLpqr9L
59,"
                                                                                                    可能马上你就需要了！                                            ", 2014-4-28 21:50,56,9,2,360安全浏览器,B1RKqg42k
60,"
                                                                                                    帮个忙吧！                                            ", 2014-4-28 21:49,-1,12,2,360安全浏览器,B1RK4Ft8o
61,"
                                                                                                    云彩，云南美的具像化身                                            ", 2014-4-28 21:44,17,2,3,360安全浏览器,B1RIbERSQ
62,"
                                                                                                    【云南将“蚕豆病”列入新生儿筛查】云大医院儿科张瑛教授介绍，由于云南是“蚕豆病”的高发区，因此2012年4月起，“蚕豆病”已列入新生儿筛查范围，希望家长不要图一时省事而忽略了这项检查。同时，对于患有此病的婴幼儿，母亲在哺乳期间最好不要吃蚕豆及蚕豆制品。O男童贪吃蚕豆差点丢性命 云南将“蚕豆病”列入... ​​​​                                            ", 2014-4-28 21:00,16,2,5,人民微管家,B1Rqb1g1s
63,"
                                                                                                    【巍山 崛起于苍茫之间】对巍山的记忆首先是古城，虽然城墙早已消失在某个年代，但穿过拱辰楼下深邃的门洞，就进入了曾经的世界。巍山古城似乎是个异类，虽然她就在距下关数十公里的地方，但江河岁月的前行如此缓慢，呈现在眼前的是一座历经千百年风霜的真正古城。据@云南画报-云南旅游 ​​​​                                            ", 2014-4-28 20:00,4,1,1,人民微管家,B1R1P295N
64,"
                                                                                                    【泡茶用什么温度？】水温的掌握，对茶性的展现有着重要的作用。高温有利于发散香味，但高温也容易冲出苦涩味，还容易烫伤一部分鲜嫩茶芽。水温的高低，一定要因茶而定。如:用料较粗的饼茶和砖茶和存放时间长的陈茶等适宜用沸水冲泡，用料较为细嫩的芽茶，适当降低水温，以85-90度为宜。据@普洱杂志社 ​​​​                                            ", 2014-4-28 19:00,5,评论,3,人民微管家,B1QDrzvAZ
65,"
                                                                                                    【云南味道 “山花浪漫”】将核桃桃花、地莲花、樘梨花、山白花等野生花卉煮至三至五成熟，捞入清水浸泡，冲洗去除涩味异味，分别加入配料素炒。各得其味。素炒核桃花菜色微黄，口感脆嫩，味微苦，清凉去火，俗称“长寿菜”，富含磷脂，有益促进细胞活力，有效降低胆固醇。据@昆宣发布 ​​​​                                            ", 2014-4-28 18:03,6,1,6,人民微管家,B1Qgj0xuF
66,"
                                                                                                    绝美！                                            ", 2014-4-28 17:27,41,5,7,360安全浏览器,B1Q1zAP2c
67,"
                                                                                                    一定要一个一个走完！                                            ", 2014-4-28 17:11,51,6,58,360安全浏览器,B1PV8o10S
68,"
                                                                                                    祈祷小艳芳手术成功！                                            ", 2014-4-28 17:08,3,1,638,360安全浏览器,B1PTV3G9w
69,"
                                                                                                    【骑行，在最美环海公路上】相信每位到大理的人都不会错过洱海的美丽风光。洱海公路最精华的一段在双廊，碧蓝的湖边蜿埏着一条绿树成荫的公路，租辆自行车，沿着公路快乐地骑一圈。虽然没有什么特别的景点，但在这样的路上骑车真是一种享受，你会觉得自己，可以像风一样自由！据@自行车骑行小百科 ​​​​                                            ", 2014-4-28 17:00,28,16,10,人民微管家,B1PQKgGKL
70,"
                                                                                                    转发微博                                            ", 2014-4-28 16:50,18,2,6,360安全浏览器,B1PMJamAQ
71,"
                                                                                                                                                ", 2014-4-28 16:47,转发,3,赞,360安全浏览器,B1PLDtDki
72,"
                                                                                                    【云南打保安法官赔款25700元】因停车问题引发纠纷，云南省高级人民法院法官黎泰军，对阳光果香小区的保安谭明进行殴打，伤情构成轻微伤。目前，双方已向警方提出和解申请，由黎泰军向谭明作出书面道歉，并赔偿其医疗费等各种费用共计25700元。据了解，该事件已达成和解。O云南打保安法官赔款25700元 ​​​​                                            ", 2014-4-28 16:00,10,18,赞,人民微管家,B1PsnpPUv
73,"
                                                                                                    【这周全省都将降温并有少量降雨】从27日起，昆明持续了半个月的“高温模式”终于告一段落，迎来了难得的凉爽天气。根据此前省气象台预测，26日夜间开始，一股冷空气从昭通进入，之后将向西向南移动扩散，预计到5月2—3日前，省内全区都将出现明显的降温和少量降雨。O昆明昨起明显降温 下周全省都将降温并有少量... ​​​​                                            ", 2014-4-28 15:00,7,5,2,人民微管家,B1P422hHk
74,"
                                                                                                    【云南近半泳池安全设施不达标 部分游泳馆无救生员或聘请无证救生员】面对即将到来的“游泳季”，@都市时报 记者走访了昆明多家公共泳池及小区泳池，部分游泳馆在细节上存在问题。云南省游泳协会相关人员表示，就云南的游泳馆而言，近50%的泳池设置都不符合标准。O云南近半泳池安全设施不达标 ​​​​                                            ", 2014-4-28 14:00,1,1,1,人民微管家,B1OFGnCXu
75,"
                                                                                                    一树一树的紫！                                            ", 2014-4-28 13:16,39,9,22,小米手机3,B1OnHeLKE
