序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
58,"
                                                                                                    【违规改装电动车易引发火灾】#消防知识 # 据统计，近些年电动车火灾呈上升趋势，而电动车起火原因主要是由于改装电动车、长时间充电和使用劣质充电器引起。不信？看实验↓为了大家安全，转发扩散周知。L四川遂宁消防的微博视频 ​​​​                                            ", 9月28日 14:30,13,1,1,微博 weibo.com,FnTOCafIW
59,"
                                                                                                    【迎接十九大消防专项行动 | @四川攀枝花消防 组织开展“迎接十九大奋战一百天忠诚保平安”宣誓活动 】为进一步提高中队官兵使命感、责任感、荣誉感，使全体官兵能以更加奋发精神的状态投入到十九大安保任务中，9月27日下午，攀枝花消防瓜子坪中队组织开展“迎接十九大奋战一百天忠诚保平安” 宣 ​​​​...展开全文c                                            ", 9月28日 13:58,2,评论,5,专业版微博,FnTBOsJGm
60,"
                                                                                                    #致敬中国消防# 【煤气罐喷射火焰 抱火哥拎起火罐狂奔下楼】9月26日，广东中山一住宅发生火灾，幸无人被困，但一瓶煤气罐阀门被烧毁，不断喷出明火。消防员抱火罐冲下楼后，将火扑灭！L一手video的秒拍视频 ​​​​                                            ", 9月28日 12:00,7,1,14,微博 weibo.com,FnSPIEjdN
61,"
                                                                                                    【老农心怀感恩，每天清晨屋顶升国旗】江苏海安，73岁的村民王世彬通过养鸡、养鸭、养蚕，走向了富裕之路。感叹如今的好生活，他每天清晨在自家房顶升国旗，坚持了7年。L一手video的秒拍视频 ​​​​                                            ", 9月28日 11:34,4,2,3,专业版微博,FnSFpwdGP
62,"
                                                                                                    【切记！切记！】使用油墨时，不小心碰到火源着火时，千万别用水灭火，当心越烧越旺扩大燃烧面积造成不必要的损失。L四川遂宁消防的微博视频 ​​​​                                            ", 9月28日 11:31,15,1,2,专业版微博,FnSE05nDa
63,"
                                                                                                    小迷妹们快来围观！这么帅的消防哥哥请给我来一打！                                            ", 9月28日 09:16,8,5,249,360安全浏览器,FnRLn7GNd
64,"
                                                                                                    就问你，燃气爆炸怕不怕？使用安全戳下图#消防知识#                                             ", 9月28日 08:24,32,4,3,iPhone 7,FnRq6E3gg
65,"
                                                                                                    “熊孩子” 日常安全教育必不可少                                            ", 9月28日 08:08,9,1,21,iPhone 7,FnRjPejMq
66,"
                                                                                                    不惧失败。每一次失败，就距离成功更近一步。 ​努力奋斗的一天开始了，早安 ​​​​                                            ", 9月28日 07:27,3,2,6,iPhone 7,FnR30EhLg
67,"
                                                                                                    人生，很多时候需要的不仅仅是执着，更是回眸一笑的洒脱。晚安，好梦 ​​​​                                            ", 9月27日 22:17,2,5,9,iPhone 7,FnNrGfr3G
68,"
                                                                                                    【狗粮先吃为敬！消防员惊喜求婚远道而来的未婚妻】因工作原因，山东滨州消防员徐成没法回老家，未婚妻坐车13个半小时来看望他。22日，他瞒着未婚妻，在战友助攻下创造了一个求婚仪式！徐成的未婚妻事先并不知情，现场她吐槽说""天啊，我还穿着他的拖鞋""。L新京报我们视频的秒拍视频 ​​​​                                            ", 9月27日 21:36,4,评论,6,iPhone 7,FnNbohFhm
69,"
                                                                                                    【违规改装电动车易引发火灾】据统计，近些年电动车火灾呈上升趋势，而电动车起火原因主要是由于改装电动车、长时间充电和使用劣质充电器引起。不信？看实验↓为了大家安全，转发扩散周知。 L四川遂宁消防的微博视频 ​​​ ​​​​                                            ", 9月27日 21:34,15,1,3,iPhone 7,FnNapn9ww
70,"
                                                                                                    【@成都市公安消防支队 组织开展远程供水作战效能评估】为全面掌握车辆装备的实际作战效能，打牢灭火救援实战基础，提高灭火供水补给不间断。9月26日上午，成都消防在金堂县铁人三项赛场组织开展远程供水系统，对高喷车、拖车炮、移动炮进行专项测试，司令部副参谋长及警训人员到场指导，金堂大 ​​​​...展开全文c                                            ", 9月27日 21:31,4,评论,11,iPhone 7,FnN98sddw
71,"
                                                                                                    【#高层建筑实战会操 # 四川高层建筑消防业务实战会操圆满闭幕！龙虎榜出炉】为期三天的高层建筑消防业务实战会操于昨日圆满落下帷幕，南充支队荣获一等奖，绵阳支队、资阳支队荣获二等奖，甘孜支队、遂宁支队、宜宾支队荣获三等奖！向获奖支队表示热烈的祝贺！ ​​​​...展开全文c                                            ", 9月27日 18:44,8,2,3,iPhone 7,FnM3B5jOm
72,"
                                                                                                    【哎哟喂“熊孩子＂躲猫猫藏进墙缝被卡，消防员撑墙营救】9月23日16时许，广西贵港一男孩被困不足20厘米墙缝中，疼痛难忍，小孩哇哇直哭，家长和周围群众自救无果，后经过消防员扩张营救，成功把被困小孩救出。戳↓L走近中国消防的微博视频 ​​​ ​​​​                                            ", 9月27日 17:27,1,1,7,iPhone 7,FnLy4mEBJ
73,"
                                                                                                    打“119”可不是戳三下这么简单                                            ", 9月27日 17:23,7,3,4,iPhone 7,FnLwHgDJw
74,"
                                                                                                    【原创军旅MV弯弯的月亮，萌萌哒军嫂倾情献舞】萌萌哒军嫂倾情献舞，武警新疆总队某部干事张德鑫创作的歌曲《弯弯的月亮》，送给坚守边关的每一位军人！（军报记者） ​​​ L军报记者的微博视频 ​​​ ​​​​                                            ", 9月27日 17:20,10,2,1,iPhone 7,FnLvucmAj
75,"
                                                                                                    这几个按钮能救命！没事别乱摸                                            ", 9月27日 17:19,7,2,赞,iPhone 7,FnLuQElMD
76,"
                                                                                                    【高层建筑消防治理系列报道 | @四川攀枝花消防 组织高层建筑重点单位开展消防应急疏散演练】 #高层建筑综合治理#   近日，攀枝花消防支队组织高层建筑重点单位专职队开展实战演练，共计30余名专职队员参加演练。 ​​​​                                            ", 9月27日 17:00,1,1,3,微博 weibo.com,FnLn0dZFS
77,"
                                                                                                    #世界旅游日#为大家奉上“出国安全指南”，戳图，学习！ ​​​                                            ", 9月27日 16:08,9,2,1,iPhone 7,FnL1X3O4e
78,"
                                                                                                    【高层建筑消防治理系列报道 | 内江电商基地高层突发“火灾”，消防出动带你逃出生天】#高层建筑消防安全#  9月26日，川南战区高层建筑灭火救援实战演练在内江市川南电商中心举行。@内江市公安消防支队 高层建筑灭火救援机动队28辆消防车、120余名消防官兵和供水、供电、交警、环保等市综合应急 ​​​​...展开全文c                                            ", 9月27日 15:30,7,3,5,微博 weibo.com,FnKMtjjfB
79,"
                                                                                                    【迎接十九大消防专项行动 | @四川宜宾消防 雷霆出击，百名监督员深夜奋战除火患】#迎接十九大忠诚保平安# 9月25日晚7点半，按照支队统一部署，全市各级消防部门、辖区派出所百余名消防监督执法人员雷霆出击，对全市消防安全重点单位、人员密集场所、高层地下建筑、易燃易爆场所、文物古建筑等开 ​​​​...展开全文c                                            ", 9月27日 14:30,4,评论,7,微博 weibo.com,FnKo7kBza
80,"
                                                                                                    谁说天上掉不下男朋友                                            ", 9月27日 14:20,3,2,524,iPhone 7,FnKkcq8QZ
81,"
                                                                                                    毛巾怎么救命？                                            ", 9月27日 14:18,13,3,7,iPhone 7,FnKjettuF
82,"
                                                                                                    【人民日报推出微视频《嘱托》】习近平说过，他花时间最多的工作是扶贫，他心中最牵挂的始终是困难群众。党的十八大以来，习近平走遍了全国11个山区集中连片特困地区。在他的推动下，中国每年农村贫困人口减少都超过1000万。L人民日报的秒拍视频 ​​​ ​​​​                                            ", 9月27日 13:41,11,评论,4,iPhone 7,FnK4oCy6u
83,"
                                                                                                    【夏防系列报道 | 警营开放日，企业职工体验红门之旅】9月22日，广元昭化消防大队组织辖区企业、酒店员工进消防站，开展了形式多样的消防开放体验活动。参观人员参观了灭火救援器材装备，并用通俗易懂、生动形象的语言为参观人员讲解了消防安全基础知识以及逃生自救知识。通过此次活动，使辖区人 ​​​​...展开全文c                                            ", 9月27日 12:55,1,评论,10,微博 weibo.com,FnJLyu0bQ
84,"
                                                                                                    【Get手机充电器正确使用姿势】 #伦敦地铁发生爆炸#  当地时间9月26日中午，伦敦一地铁站发生爆炸。经确认该爆炸是由于乘客手机充电器故障引起。车厢内起火。事发时警方将地铁站内的人群紧急疏散。消防部门赶到后，火已被扑灭。#消防知识#  日常生活中，我们或多或少存在错误使用充电器的行为，戳图学 ​​​​...展开全文c                                            ", 9月27日 12:00,7,1,1,微博 weibo.com,FnJpepItR
