ID,微博内容
69,灾难前彰显党员力量 群众生命重于泰山在盐城部分地区突遭龙卷风冰雹灾害中，盐城阜宁县陈良镇是风暴肆虐、受灾最严重、人员伤亡最多的地区之一。灾情发生后，当地派出所第一时间组织警力赶往现场展开救援，在险情四伏的废墟里，徒手刨出一条条生命。　　6月24日晚，荔枝新闻记者来到这里，了解到一 ????????...展开全文c
70,??盐城，加油！丨龙卷风过后40个小时，风暴中的钢铁脊梁依然挺立，感动世界！！O????盐城，加油！丨龙卷风过后40个小时，风暴中... ????????
71,6月23日下午，江苏省盐城市阜宁县、射阳县部分地区突发龙卷风冰雹严重灾害，多个乡镇受灾，造成大量民房、厂房、学校教室倒塌。灾害发生后，江苏省公安厅在组织3500多名警力全力开赴一线进行抢险救灾的同时，厅机关干部职工自发捐款，开展为灾区献爱心活动。在捐款现场，厅领导带头，全体干部职工响应 ????????...展开全文c
72,"#风雨无情，还有这群可爱的人#一场特大龙卷风催促着倾盆暴雨,与鸭蛋般大小的冰雹遥相呼应，霎时天昏地暗，席卷了江苏盐城的阜宁、射阳两县，顷刻间，数十名群众殒命于废墟瓦砾之下，数百人不同程度受伤，若干户居民无家可归,一排排腰粗的大树折断，通信照明线路迅即瘫痪。O风雨无情，还有这群可爱的人 ????????"
73,#龙卷风袭击盐城#【幼儿园6名老师用身体拼死堵门 护住120名儿童】“快堵门，老师都去堵门！”昨天，龙卷风冰雹袭击江苏盐城，计桥幼儿园被掀翻第三层屋顶，里面上课的120名儿童却仅有7人受伤。事发时，6名老师用身体堵住教室大门，护住了孩子们。6名教师均受伤，有的满脸是血…O阜宁计桥幼儿园6名老师拼死堵门护住120名儿童
74,受习近平总书记、李克强总理委派，中共中央书记处书记、国务委员兼国务院秘书长杨晶代表党中央、国务院，率国务院有关部门于24日紧急赶赴我县，指导“6·23”江苏盐城龙卷风冰雹特别重大灾害应急救援和善后处置工作，看望受灾群众和受伤人员，慰问在一线抢险救援的工作人员。O昨天，中央领导来阜指导抢险救援工作 ????????
75,【48名边防官兵在射阳县陈洋镇帮助群众搜救财物】射阳县紧邻阜宁县，这是这次龙卷风的受灾地之一。今天上午，盐城边防支队救援队48名边防官兵来到射阳县重灾区陈洋镇开展救援工作。他们给射阳经济开发区陈洋安置点捐赠了一些食品，水等物资，随后在陈洋村居委会开展清理道路，挽回群众损失，现场为群众 ????????...展开全文c
76,盐城，加油！丨龙卷风过后40个小时，风暴中的钢铁脊梁依然挺立，感动世界！！O????盐城，加油！丨龙卷风过后40个小时，风暴中... ????????
77,“６·２３”江苏盐城特别重大龙卷风冰雹灾害应急救援和善后处置有序推进 °“６·２３”江苏盐城特别重大龙卷风冰雹灾害应... ????????
78,【习近平对江苏盐城龙卷风冰雹特别重大灾害作出重要指示 要求全力组织抢救受伤人员 最大限度减少人员伤亡 李克强就抢险救灾和灾害防范工作作出批示】
