序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
40,"
                                                                                                    【近千名北京高校学子愿当“蓉漂” 2/3为硕士以上学历】#四川服务#昨日，“‘蓉漂’人才荟——走进清华大学”高端人才双选会在清华大学举行。本次高端人才双选会有48家成都本地的国企、事业单位、实力民企参会，为广大高校人才提供近300个工作岗位。在近2小时吸引了近千名北京各大高校学子到会，三分之 ????????...展开全文c                                            ", 9月21日 17:00,转发,评论,1,微博 weibo.com,FmQO1q8gv,0
41,"
                                                                                                    【宜宾：掌上电力APP，让购电用电一目了然】“这个真心方便！随便在哪儿，都可以购电、查余额……一目了然，安逸！” 9月21日，国网宜宾市南溪供电公司员工在营业大厅为客户安装掌上电力APP，并讲解使用方法。目前，宜宾公司有11万余户电力用户通过掌上电力APP进行电费缴纳，享受到更便捷、舒心的用电 ????????...展开全文c                                            ", 9月21日 16:00,1,1,赞,微博 weibo.com,FmQpFsIrh,0
42,"
                                                                                                    【27日成博开启法国展 价值2亿的莫奈真迹将展出】据@成都博物馆 消息，9月27日下午，成都博物馆一号临展厅即将举办《现代之路——法国现当代绘画艺术展》，法国印象主义名家莫奈的原作《睡莲》将作为最重磅的画作之一展出。这幅圆形构图的《睡莲》是来自法国圣艾蒂安大都会现当代艺术博物馆的镇馆之宝 ????????...展开全文c                                            ", 9月21日 15:30,转发,评论,赞,微博 weibo.com,FmQduwGu0,0
43,"
                                                                                                    【电力之歌】#电力人原创#（国网乐山供电公司 林中虎） ????????                                            ", 9月21日 15:00,转发,1,1,微博 weibo.com,FmQ1jv1sb,0
44,"
                                                                                                    【网红院士的最“美”办公桌，超出你想象】还记得那位坐高铁二等座，穿旧皮鞋聚精会神工作的78岁院士刘先林吗？其实，刘老的办公室更是简陋，堪比车间，掉漆的写字台和硬木椅子用了三十多年，他多次拒绝换新桌椅的理由是“椅子太舒服了容易走神，只有坐硬椅子，才能出灵感”（@头条新闻 ） ????????                                            ", 9月21日 14:30,转发,评论,赞,微博 weibo.com,FmPP8w6f5,0
45,"
                                                                                                    【境外投资 全部盈利】6月13日，中国国家电网公司宣布，成功中标英国设得兰（Shetland）柔性直流输电工程。消息发布后，立刻引起网友的热议。这些年，我们一直在努力！来看看我们近几年的亮眼成绩吧！（@电网头条 ） ????????                                            ", 9月21日 14:00,转发,评论,1,微博 weibo.com,FmPCXzbfp,0
46,"
                                                                                                    【新版民航招飞体检规范出炉 近视眼也能当飞行员了！】新版《民用航空招收飞行学生体检鉴定规范》日前正式出炉，其最大亮点是将飞行学生体检鉴定中的裸眼远视力标准放宽至C字表0.1（约等于E字表4.0），近视低于450度、远视低于300度的学员在经过激光手术后也允许报考飞行员。你能报考了吗？ ????????                                            ", 9月21日 12:00,转发,评论,赞,微博 weibo.com,FmOQfBtdX,0
47,"
                                                                                                    【9.22世界无车日????使用@支付宝 购买成都地铁单程票享五折优惠】9月22日，搭乘地铁的乘客在成都地铁具备移动支付功能的自动售票机设备或全线网各车站票亭处使用支付宝购买单程票可享受票价5折优惠。同一用户限购买两次，单次购买票价总额不高于10元。优惠的部分将由支付宝为乘客承担。（@成都地铁 ） ????????                                            ", 9月21日 11:30,转发,评论,赞,微博 weibo.com,FmOE4jkLL,0
48,"
                                                                                                    【国家旅游局：预计国内游人数超7亿】据国家旅游局数据：预计10月1日-8日期间国内旅游人数将达到7.1亿人次。调查也显示，国庆、中秋假日期间出游4-7日者占总受访人数的48.9%，出游7--30日（小编：这个数扎心了）者占总受访人数的17.6%。（人民网旅游）|国家旅游局...你想好去哪玩了吗？ ??@人民网 ????????                                            ", 9月21日 11:00,转发,1,1,微博 weibo.com,FmOrTkZUh,0
49,"
                                                                                                    【他们没有“痴呆”，只是回归孩子的状态】①阿尔茨海默病患者的脑海里像是有一块橡皮，会逐渐擦去记忆；②全世界患病人数以每20年翻一倍的速度增长；③病魔可能使他们连一些最简单的事情都做不好；④对患病父母，请像他们当年照顾我们一样，以最大耐心关爱！今天，世界阿尔茨海默病日，为爱转发！ ????????                                            ", 9月21日 10:30,转发,评论,1,微博 weibo.com,FmOfIETZQ,0
50,"
                                                                                                    【#中秋节# 成都月饼节开幕啦！】万众期待的2017第17届中国（四川）中秋食品博览会暨月饼文化节今日在成都世纪城会展中心开幕啦！从今日起至9月30日，在成都世纪城会展中心六、七号馆，你能买到全国各地的品牌月饼，烘焙食品、好酒好茶、新款饮料、加工肉制品、休闲食品和农副土特产品等。（ ????????...展开全文c                                            ", 9月21日 10:00,转发,1,2,微博 weibo.com,FmO3y0q9K,0
51,"
                                                                                                    今天早上，成都天空现碧海云天，气象专家表示，这是俗称的“阴阳天”，没有特殊含义，就是突如其来的一个造型而已~有种""犹抱琵琶半遮面""的感觉，你看到了吗？（@华西都市报 ） ????????                                            ", 9月21日 09:44,转发,评论,1,微博 weibo.com,FmNXaEY0O,0
52,"
                                                                                                    【来春熙路逛街 顺便投个简历？成都网络安全周上演""人才网罗大会""】19日，一场“人才网罗大会”在春熙路公众体验活动现场上演，吸引了上百位大学生前来咨询、投递简历。在公众体验活动开展期间（18日-23日），各家企业展位也都接收个人简历。童鞋们！抓紧机会！（@成都发布 ）O来春熙路找工作？成都网络安全周上演""人才网... ????????                                            ", 9月21日 09:30,转发,评论,赞,微博 weibo.com,FmNRn1yjf,0
